id_rumah_makan,kabupaten,nama_rumah_makan,rating,latitude,longitude
2a04,Kota Yogyakarta,Gudeg Yu Djum,4.3,-7.79392,110.3652
292,Kota Yogyakarta,Dapur Manado,4.5,-7.79128,110.3848
b229,Kota Yogyakarta,Restoran Bumbu Desa,4.5,-7.78,110.377
d550,Kota Yogyakarta,R&B Grill Yogyakarta,4.6,-7.77897,110.3631
81d4,Sleman,Moelih nDeso,4.2,-7.75652,110.4305
10c0,Sleman,Rica Sapi Mbah Wongso,4.4,-7.71451,110.3436
89hy,Sleman,Kedai Naknan,4.1,-7.75506,110.3770313
97bd,Sleman,Sate Ratu,4.7,-7.73597,110.3991
02d8,Bantul,Waroeng Pohon Omah Sawah,4.4,-7.8478,110.359
2aa3,Bantul,Pawon Tembi Jogja,4.4,-7.87442,110.357
776i,Bantul,Rumah Curry,4.9,-7.80763,110.4186602
097j,Bantul,Lesehan Pecel Lele Pring Ori,4.4,-77.8847,110.4055525
b934,Kulon Progo,Dapur SEMAR,4.2,-7.85883,110.1494
686d,Kulon Progo,"""Kuliner Khas Menoreh"" Mangut & Sidat Goreng Bu Sriwanto",4.5,-7.68245,110.255982
79b7,Kulon Progo,Kripala Dekso Coffee and Resto,4.6,-7.71518,110.2174
778h,Kulon Progo,Dadap Sumilir,4.8,-7.73071,110.1879767
29cc,Gunungkidul,Omah Kampoeng Kuliner Gunungkidul (Rest Area & Transit),4.2,-7.98187,110.6177
4ad8,Gunungkidul,"Bakmi, Soto & Ayam Goreng Mbah Noto",4.5,-7.93768,110.5749
2120,Gunungkidul,THE MANGLUNG VIEW & RESTO,4.4,-7.84493,110.4826
77b6,Gunungkidul,Taman Watu Cafe & Resort,4.9,-8.10649,110.463
